date,open,high,low,close,volume
2021-01-04,100.2136,100.5025,100.1351,100.3109,230786
2021-01-05,100.264,100.5485,100.2359,100.3531,135892
2021-01-06,100.8892,101.0301,100.59,100.7546,341710
2021-01-07,101.1766,101.2166,100.9446,101.196,110081
2021-01-08,101.196,101.3503,100.8641,101.0541,190380
2021-01-11,100.9989,101.2172,100.8706,101.0436,180845
2021-01-12,101.4694,101.5786,101.0862,101.322,216595
2021-01-13,101.5246,101.6348,101.4783,101.5112,402659
2021-01-14,101.7879,101.9824,101.6131,101.7616,339798
2021-01-15,102.0017,102.091,101.5191,101.8424,496323
2021-01-18,102.2391,102.5301,102.234,102.2761,240479
2021-01-19,102.5943,102.7328,102.5491,102.6909,471410
2021-01-20,102.915,102.9838,102.8447,102.9612,117965
2021-01-21,103.4975,104.0036,103.448,103.4507,301687
2021-01-22,103.6435,104.092,103.3422,103.8061,419539
2021-01-25,103.9534,104.2595,103.6249,103.8872,312729
2021-01-26,104.1674,104.2548,104.1612,104.2235,473324
2021-01-27,104.4039,104.4898,104.0696,104.2842,225832
2021-01-28,104.4774,104.7529,104.0147,104.7281,113333
2021-01-29,104.8969,105.0729,104.8244,104.9795,409575
2021-02-01,105.0257,105.2355,104.7758,105.2031,127201
2021-02-02,105.2359,105.6292,105.2036,105.3229,405902
2021-02-03,105.8699,105.9666,105.7272,105.8437,393366
2021-02-04,106.0566,106.3158,105.9075,106.0756,437708
2021-02-05,106.223,106.3868,106.1976,106.2499,291570
2021-02-08,106.4238,106.4535,106.0788,106.4407,458201
2021-02-09,106.8419,107.0709,106.3193,106.8201,167932
2021-02-10,107.0572,107.2628,106.8553,107.1653,273739
2021-02-11,107.5976,107.9086,107.3098,107.5216,148733
2021-02-12,107.9546,107.9713,107.7848,107.8831,406750
2021-02-15,108.6567,108.6995,108.3137,108.6149,385708
2021-02-16,108.8587,109.1014,108.4913,108.7981,422559
2021-02-17,108.991,109.0409,108.9208,108.9587,405737
2021-02-18,109.2757,109.6238,108.8946,109.0537,223383
2021-02-19,109.4512,109.6606,109.3684,109.4607,127226
2021-02-22,109.9478,110.0314,109.8482,109.9815,471696
2021-02-23,110.1484,110.5222,110.0777,110.2314,297127
2021-02-24,110.2079,110.9416,110.1553,110.3218,137736
2021-02-25,110.2782,110.5452,109.9303,110.4157,470825
2021-02-26,110.7369,111.1535,110.5004,110.8354,497707
2021-03-01,111.2693,111.3315,111.2571,111.2772,278199
2021-03-02,111.7136,111.7474,111.4233,111.6763,408036
2021-03-03,111.8126,111.9093,111.5241,111.8068,114519
2021-03-04,112.0524,112.1522,111.7338,112.1383,137308
2021-03-05,112.546,112.5709,112.3745,112.4448,210626
2021-03-08,112.8585,112.9506,112.4688,112.7751,362491
2021-03-09,113.2355,113.5702,113.1204,113.2536,153369
2021-03-10,113.5132,113.938,113.4689,113.5873,113671
2021-03-11,114.0881,114.2371,113.9759,114.0255,367508
2021-03-12,114.3475,114.4108,114.2383,114.326,408074
2021-03-15,114.5119,114.8147,114.4459,114.6779,395685
2021-03-16,115.1016,115.1114,115.0435,115.1094,419689
2021-03-17,115.0919,115.2749,115.0519,115.0617,421140
2021-03-18,115.1721,115.3174,115.154,115.2758,340964
2021-03-19,115.4775,115.629,115.299,115.4556,307765
2021-03-22,115.4285,115.8802,115.3057,115.5967,442744
2021-03-23,115.9768,116.3431,115.147,115.8221,239210
2021-03-24,116.6032,116.7186,116.044,116.4579,139153
2021-03-25,116.518,116.7743,116.4425,116.5474,400785
2021-03-26,117.107,117.3979,116.8865,117.0645,210369
2021-03-29,116.6812,117.2275,116.5465,116.9631,491541
2021-03-30,117.0417,117.3211,117.0308,117.1772,265671
2021-03-31,117.4737,117.6489,117.2948,117.5083,440717
2021-04-01,117.8134,118.0624,117.5364,117.9398,116983
2021-04-02,118.487,118.7471,118.3569,118.4024,363692
2021-04-05,119.1238,119.2907,118.6171,118.8863,279286
2021-04-06,118.9605,119.4236,118.4027,119.1006,285040
2021-04-07,119.1883,119.4778,118.8092,119.2882,206085
2021-04-08,119.8193,120.1317,119.7013,119.7911,488477
2021-04-09,120.2382,120.4402,119.786,120.0448,257094
2021-04-12,119.8919,120.3957,119.5994,120.0386,440191
2021-04-13,120.0965,120.1618,119.8671,120.0666,270041
2021-04-14,120.3648,120.6422,120.1109,120.146,119310
2021-04-15,120.3667,120.6238,120.3626,120.5658,451764
2021-04-16,120.7467,120.9263,120.6783,120.9016,174043
2021-04-19,121.3194,121.39,121.0562,121.3708,208136
2021-04-20,121.5072,121.8462,121.0783,121.5705,444442
2021-04-21,122.0121,122.1002,121.6756,121.913,457497
2021-04-22,122.3999,122.4861,122.3683,122.3703,466701
2021-04-23,122.3829,122.8429,122.333,122.6005,270388
2021-04-26,123.0824,123.1933,122.6571,123.019,402789
2021-04-27,123.0926,123.1645,122.9687,123.1637,231123
2021-04-28,123.5394,123.7247,122.7865,123.3822,396156
2021-04-29,123.5189,123.6548,123.3587,123.5965,301004
2021-04-30,123.5312,123.6554,123.1625,123.6098,120783
2021-05-03,124.1064,124.1734,124.026,124.0393,267097
2021-05-04,124.3277,124.7681,124.2033,124.2329,287090
2021-05-05,124.6024,124.6269,124.2553,124.5466,202948
2021-05-06,124.767,125.0387,124.7225,124.9777,249787
2021-05-07,125.4692,125.9956,125.2277,125.4018,301071
2021-05-10,125.752,126.1073,125.6245,125.8822,119880
2021-05-11,126.2017,126.2682,125.8509,126.1721,160720
2021-05-12,126.2007,126.554,126.0654,126.3807,406713
2021-05-13,126.733,127.0832,126.5788,126.6765,240771
2021-05-14,126.4636,126.6074,126.4038,126.5657,343353
2021-05-17,126.3535,126.8418,125.9575,126.5158,326316
2021-05-18,126.5877,126.6033,126.3991,126.4974,320487
2021-05-19,126.5919,126.6013,126.1159,126.5613,265363
2021-05-20,126.901,127.0015,126.7102,126.9789,293326
2021-05-21,127.2508,127.2518,127.0337,127.0664,429564
2021-05-24,127.2319,127.7255,126.6245,127.288,486019
2021-05-25,127.9411,128.5346,127.6555,127.937,202688
2021-05-26,128.2001,128.7133,128.1393,128.1656,367789
2021-05-27,128.5954,128.8149,128.1329,128.6751,487908
2021-05-28,128.8172,128.8209,128.4497,128.7565,103033
2021-05-31,128.9567,129.2036,128.7771,129.0255,413888
2021-06-01,129.0498,129.2251,128.992,129.1029,298728
2021-06-02,129.5144,129.6139,129.3376,129.3381,487037
2021-06-03,129.7437,130.1436,129.6705,129.8789,331307
2021-06-04,129.4418,130.0222,129.2609,129.7549,435254
2021-06-07,130.4017,130.4497,130.1687,130.192,166405
2021-06-08,130.9123,131.1643,130.162,130.5794,156841
2021-06-09,130.6977,130.822,130.6623,130.7507,470631
2021-06-10,130.4462,130.8462,130.3288,130.6994,310584
2021-06-11,131.0043,131.2279,130.9447,131.045,323337
2021-06-14,131.1963,131.2629,130.7725,131.2338,167991
2021-06-15,131.598,131.6233,131.3378,131.623,190692
2021-06-16,131.8109,132.3465,131.7148,131.9578,427290
2021-06-17,132.7873,133.4382,132.5177,132.7104,221331
2021-06-18,133.0484,133.4257,132.904,132.9787,333664
2021-06-21,132.8401,133.3548,132.4414,133.0389,226613
2021-06-22,133.5125,133.6095,133.1456,133.4192,205379
2021-06-23,134.0861,134.1544,133.6675,133.8115,166408
2021-06-24,134.5329,134.9384,134.1793,134.5097,471839
2021-06-25,135.0251,135.3368,134.8524,135.0707,476024
2021-06-28,135.4855,135.738,135.312,135.5048,146074
2021-06-29,136.3239,136.9939,136.0934,136.2401,241300
2021-06-30,136.021,136.7478,135.9535,136.2568,325544
2021-07-01,136.4455,136.5579,136.3845,136.4231,253314
2021-07-02,136.458,136.6106,136.2197,136.5113,388416
2021-07-05,136.9988,137.3137,136.5999,136.7462,204092
2021-07-06,136.6877,137.2332,136.2578,136.7115,123539
2021-07-07,137.4558,137.488,136.8477,137.227,234773
2021-07-08,137.3573,137.7835,137.2111,137.509,339142
2021-07-09,137.529,137.5524,137.105,137.4483,172255
2021-07-12,137.5567,137.9969,137.3999,137.5128,426360
2021-07-13,137.8229,138.153,137.6945,137.9428,104899
2021-07-14,138.5434,138.5846,137.861,138.5188,127010
2021-07-15,139.5874,139.6896,138.9338,139.4183,303534
2021-07-16,140.5338,140.6967,140.4766,140.5793,304897
2021-07-19,140.8087,141.4198,140.491,141.0473,217953
2021-07-20,141.1183,141.362,140.9791,141.1208,203422
2021-07-21,140.7447,141.0973,140.7049,140.8718,127924
2021-07-22,141.2511,141.4783,140.5941,141.2994,365169
2021-07-23,141.4114,141.426,141.3444,141.423,251610
2021-07-26,141.4174,142.049,140.8792,141.659,147470
2021-07-27,141.6106,141.9295,141.4822,141.8398,259935
2021-07-28,142.2229,142.3269,142.0806,142.1544,474820
2021-07-29,142.7382,142.988,142.4456,142.8129,204494
2021-07-30,142.8475,143.2551,142.8006,143.2148,457891
2021-08-02,143.64,144.0801,143.3606,143.5274,203497
2021-08-03,143.628,143.9174,142.9353,143.5889,174389
2021-08-04,143.3645,143.5406,143.1807,143.4669,204256
2021-08-05,143.4968,143.9016,143.4644,143.6861,229306
2021-08-06,144.1502,144.7077,143.7381,144.0298,148243
2021-08-09,144.9498,145.5181,144.8625,144.8992,335053
2021-08-10,145.6454,146.0031,145.1295,145.2992,233379
2021-08-11,146.0093,146.2799,145.7937,145.948,387224
2021-08-12,146.2238,146.6581,145.9899,146.1671,296395
2021-08-13,146.1617,146.4956,145.7705,146.1861,277062
2021-08-16,146.3889,146.7761,145.9631,146.2694,288397
2021-08-17,146.5145,146.6569,146.0136,146.4229,162516
2021-08-18,147.5968,147.7209,147.2169,147.4123,385152
2021-08-19,147.4618,147.5689,146.8946,147.5387,141660
2021-08-20,148.0904,148.3477,147.7565,148.155,388611
2021-08-23,148.1868,148.4577,148.1578,148.2578,499906
2021-08-24,149.0224,149.2347,148.6246,148.9047,405599
2021-08-25,149.6154,149.8786,149.2334,149.3916,282140
2021-08-26,149.6495,150.4014,149.6276,149.7182,225790
2021-08-27,150.0166,150.1696,150.0053,150.0803,449012
2021-08-30,150.3062,150.5728,150.2317,150.259,202876
2021-08-31,150.7316,150.9162,150.7223,150.7687,292950
2021-09-01,151.1522,151.2084,150.9437,151.0084,408349
2021-09-02,150.6757,151.2313,150.2412,151.0158,468943
2021-09-03,150.8825,151.8082,150.7266,151.0074,468382
2021-09-06,151.3185,151.8544,151.0417,151.437,135103
2021-09-07,151.9405,152.8453,151.5247,152.2939,459305
2021-09-08,152.5761,153.4105,152.5183,152.7233,145607
2021-09-09,152.9288,153.4348,152.6781,153.0689,333790
2021-09-10,153.5082,153.9459,153.474,153.5391,471852
2021-09-13,154.4957,154.5094,154.204,154.324,361922
2021-09-14,154.7395,155.177,154.2823,154.7775,478997
2021-09-15,154.8774,155.1647,154.7205,155.0372,237733
2021-09-16,155.759,156.0116,155.3503,155.7678,225886
2021-09-17,156.4548,156.7367,156.081,156.2908,230486
2021-09-20,157.0082,157.3263,156.765,157.1616,242065
2021-09-21,157.4686,157.8418,157.2869,157.6121,373122
2021-09-22,157.7082,157.8901,157.5212,157.6202,280980
2021-09-23,157.548,157.7593,157.3931,157.5829,394971
2021-09-24,158.5998,158.7794,158.2142,158.4972,266464
2021-09-27,159.4376,159.6151,159.1907,159.4398,223090
2021-09-28,159.8933,160.2523,159.5834,159.7812,176018
2021-09-29,159.8925,160.4372,159.6826,160.0582,320422
2021-09-30,160.9242,160.954,160.7422,160.9261,459350
2021-10-01,160.9382,161.0774,160.5844,160.9722,443586
2021-10-04,160.8907,161.3419,160.6883,161.0865,201323
2021-10-05,161.4437,161.7051,160.8916,161.6965,291053
2021-10-06,162.0842,162.2692,161.2386,161.9731,382108
2021-10-07,162.3194,162.5772,161.9848,162.3764,344969
2021-10-08,162.5629,163.2344,162.54,162.7293,126862
2021-10-11,163.2303,163.6629,162.8463,163.246,336423
2021-10-12,164.2987,164.6278,163.8584,164.1136,115500
2021-10-13,164.1783,165.1077,163.9714,164.5536,146599
2021-10-14,164.9297,165.3524,164.581,165.1769,361492
2021-10-15,164.7604,165.2572,164.4138,164.9126,141018
2021-10-18,165.5504,165.5729,165.2611,165.3088,235606
2021-10-19,165.4901,165.6265,165.0407,165.4433,335370
2021-10-20,165.5806,166.1792,165.175,165.4536,362183
2021-10-21,165.3879,165.6335,165.0843,165.5767,278292
2021-10-22,165.6943,166.3973,164.7632,165.88,137608
2021-10-25,166.6731,166.9956,166.4481,166.5985,419641
2021-10-26,166.5828,167.0881,166.5491,166.5731,479940
2021-10-27,167.0913,167.3577,166.5671,166.9997,455487
2021-10-28,167.2241,167.3565,166.6535,167.2555,399405
2021-10-29,167.6106,167.8538,167.1888,167.564,260887
2021-11-01,168.3456,168.5572,168.219,168.319,450506
2021-11-02,169.0523,169.3142,168.4659,168.9209,295269
2021-11-03,169.9321,169.9452,169.7235,169.7951,154588
2021-11-04,169.8914,170.7591,169.5104,170.1671,440219
2021-11-05,169.9728,170.5199,169.4757,170.3556,228064
2021-11-08,170.8763,171.2178,170.429,170.7053,475480
2021-11-09,171.4182,171.4516,171.1821,171.2148,247337
2021-11-10,171.5281,171.9766,170.6923,171.7033,447757
2021-11-11,171.4407,171.9138,171.1036,171.7602,314869
2021-11-12,172.2377,172.2548,171.9838,172.2207,286957
2021-11-15,172.8906,172.9306,172.3108,172.7298,218747
2021-11-16,174.3442,174.6357,173.6453,174.0314,434281
2021-11-17,175.2101,175.4421,174.5621,175.1197,124252
2021-11-18,175.1935,175.4866,175.0878,175.2586,287549
2021-11-19,175.4392,175.8045,175.0829,175.5961,247551
2021-11-22,175.5231,176.0627,174.939,175.5211,317356
2021-11-23,175.6999,176.262,175.6972,175.7525,201819
2021-11-24,176.1239,176.4351,176.0274,176.3029,365836
2021-11-25,177.5318,177.6642,177.0622,177.1688,254368
2021-11-26,177.67,177.8916,176.6964,177.3534,175252
2021-11-29,177.7665,177.7748,177.4491,177.5647,178783
2021-11-30,177.0829,177.4587,176.967,177.2461,378602
2021-12-01,177.7834,178.3595,177.5789,177.6315,204758
2021-12-02,177.8118,177.9412,177.4979,177.6982,222901
2021-12-03,178.033,178.1107,177.7966,177.9543,350780
2021-12-06,178.3096,178.7353,178.0729,178.0871,231913
2021-12-07,178.6121,179.3875,178.3408,178.4987,255261
2021-12-08,178.4494,179.1682,178.2089,178.3175,197791
2021-12-09,178.3536,178.6375,178.094,178.2401,238153
2021-12-10,179.5058,179.5275,179.4115,179.4447,377111
2021-12-13,179.1112,179.5211,178.4231,179.4313,313562
2021-12-14,179.5012,179.9774,179.315,179.4862,499013
2021-12-15,180.4939,180.6027,180.4937,180.5944,408744
2021-12-16,181.8621,182.8248,181.8476,182.0951,106732
2021-12-17,182.43,182.7307,181.7737,182.1237,251547
2021-12-20,182.7603,182.8223,181.7323,182.4449,215940
2021-12-21,183.2744,183.4353,182.3031,183.0256,335007
2021-12-22,184.1629,184.3083,184.0151,184.116,206262
2021-12-23,184.4617,185.2472,184.2102,184.2129,486481
2021-12-24,184.5852,184.6804,184.5202,184.583,219750
2021-12-27,185.369,185.6825,185.1602,185.3314,308792
2021-12-28,185.7526,186.5419,185.5058,185.9559,149164
2021-12-29,186.3549,186.6014,185.9335,186.2809,463919
2021-12-30,186.708,187.1403,186.516,186.6968,464740
2021-12-31,186.407,187.0105,186.3097,186.6501,417469
2022-01-03,187.0183,187.0478,186.2299,187.0278,240651
2022-01-04,187.3808,188.177,187.0925,187.3958,123487
2022-01-05,188.2891,188.5204,187.492,187.9513,384386
2022-01-06,188.3807,188.6647,187.9698,188.2124,271639
2022-01-07,188.8626,188.9574,188.5282,188.8604,496150
2022-01-10,189.7623,190.7038,189.4594,189.7151,379327
2022-01-11,190.2568,190.6359,189.9209,190.2484,315453
2022-01-12,190.8191,191.3284,190.2242,190.8578,494684
2022-01-13,191.1481,192.4184,190.8132,191.3553,420188
2022-01-14,191.8047,191.967,191.7178,191.8337,283350
2022-01-17,191.8932,192.4896,191.6064,192.0364,107541
2022-01-18,192.3972,192.9481,192.3751,192.6381,137114
2022-01-19,193.1809,193.4417,192.6507,193.0822,277487
2022-01-20,194.4493,194.6064,194.212,194.3732,324803
2022-01-21,195.1215,195.6918,194.8957,195.4708,112060
2022-01-24,196.0862,196.8305,196.0517,196.1103,150625
2022-01-25,196.4967,196.5765,196.2151,196.3013,381718
2022-01-26,196.5633,196.7111,196.2537,196.3553,400607
2022-01-27,197.5164,198.103,196.7306,197.314,111924
2022-01-28,197.9186,198.3898,197.5544,197.9109,303070
2022-01-31,198.4279,198.8978,198.1949,198.5958,132389
2022-02-01,198.1843,198.6218,198.18,198.3993,389372
2022-02-02,199.332,199.3409,198.913,199.2633,433629
2022-02-03,200.0184,200.6436,199.3438,199.9426,447744
2022-02-04,200.2559,200.3475,199.4743,199.9984,339269
2022-02-07,200.5301,200.9181,199.4934,200.3098,351579
2022-02-08,200.8896,201.0339,200.8765,200.9162,470636
2022-02-09,201.1889,202.0797,200.739,201.4396,344975
2022-02-10,201.7611,201.8754,201.6059,201.8255,278509
2022-02-11,202.3322,202.6325,202.0207,202.2883,401828
2022-02-14,202.6511,203.4533,202.3911,202.692,336335
2022-02-15,203.1432,203.6975,203.0492,203.2606,436982
2022-02-16,204.4186,204.777,204.2446,204.367,309880
2022-02-17,203.7261,203.9389,203.4522,203.8288,447621
2022-02-18,204.1135,204.4101,203.9196,204.2418,117945
2022-02-21,204.8883,205.6503,204.5411,204.8245,114572
2022-02-22,205.3752,205.6504,205.306,205.4578,139615
2022-02-23,205.8689,206.1398,205.389,205.8187,322476
2022-02-24,205.6662,206.7813,205.4483,205.6101,383590
2022-02-25,206.024,206.3472,205.4483,206.259,186507
2022-02-28,207.3873,207.8183,207.1154,207.4872,162299
2022-03-01,207.6675,207.8452,206.9196,207.3694,444138
2022-03-02,208.0041,208.4289,207.4165,208.2461,400215
2022-03-03,208.1883,208.8496,207.7619,208.6299,359359
2022-03-04,208.7365,209.5576,208.6155,209.1258,295347
2022-03-07,209.2144,210.1809,209.1425,209.2083,268088
2022-03-08,209.5978,209.7349,209.5037,209.5914,108211
2022-03-09,210.6355,210.9688,210.3497,210.6603,175241
2022-03-10,211.6892,212.0769,211.2756,211.4324,458797
2022-03-11,212.1251,212.74,212.0251,212.6935,235609
2022-03-14,213.8108,213.9189,213.3534,213.7261,381817
2022-03-15,214.783,215.0245,214.2072,214.4481,381511
2022-03-16,215.4889,216.2896,215.2234,215.7322,223768
2022-03-17,216.3788,216.6136,215.8619,216.461,181743
2022-03-18,217.1969,218.1922,216.7345,217.3606,376666
2022-03-21,217.5803,217.9781,216.7846,217.7751,137433
2022-03-22,218.2772,218.5128,217.9586,218.3485,297929
2022-03-23,218.9018,219.1238,217.799,218.5898,455211
2022-03-24,219.9723,220.1528,218.943,219.5689,384531
2022-03-25,219.5266,219.7119,218.8127,219.6004,405684
2022-03-28,220.913,221.08,220.1733,220.493,133307
2022-03-29,220.968,221.3729,220.3317,220.9601,179917
2022-03-30,222.4195,223.1905,221.8273,222.0301,210039
