date,open,high,low,close,volume
2021-01-04,119.1542,119.5827,118.9136,119.4694,133742
2021-01-05,119.1224,119.1527,118.8146,119.0774,132982
2021-01-06,118.7787,118.9584,118.6208,118.7275,187546
2021-01-07,118.5564,119.0467,118.4498,118.5001,163962
2021-01-08,118.08,118.2653,117.7946,118.142,312740
2021-01-11,118.3078,118.3941,117.9203,118.1318,256923
2021-01-12,117.5213,118.2566,117.4921,117.5754,406126
2021-01-13,117.0768,117.3055,117.0202,117.0276,140550
2021-01-14,116.8433,117.1006,116.5481,116.7739,391182
2021-01-15,116.758,116.9922,116.3908,116.5577,473616
2021-01-18,116.007,116.1306,115.7598,116.0437,152233
2021-01-19,115.6533,115.9331,115.548,115.7289,360916
2021-01-20,115.2895,115.5121,114.8358,115.4624,303603
2021-01-21,115.3773,115.5054,114.9654,115.1984,137929
2021-01-22,115.1091,115.1818,114.6319,115.0606,217131
2021-01-25,114.7878,114.8144,114.6396,114.7358,415222
2021-01-26,115.2609,115.4067,114.4885,114.9028,447602
2021-01-27,114.88,115.1703,114.8354,114.8426,247362
2021-01-28,114.3359,114.8334,113.961,114.485,142609
2021-01-29,114.3125,114.6505,113.9299,114.3349,197948
2021-02-01,114.0805,114.285,113.6684,114.1918,437372
2021-02-02,114.2527,114.5159,114.1845,114.2979,327993
2021-02-03,113.9433,114.2803,113.7179,113.9892,272193
2021-02-04,113.9262,114.1172,113.6544,113.9932,105348
2021-02-05,113.6731,113.9065,113.6473,113.8317,413079
2021-02-08,114.1821,114.3268,113.7205,114.0005,286159
2021-02-09,114.158,114.2552,113.987,114.1239,318103
2021-02-10,113.9719,114.2451,113.8089,113.9976,437521
2021-02-11,113.853,113.9974,113.6064,113.7668,324958
2021-02-12,113.765,114.0788,113.2012,113.7115,471223
2021-02-15,113.5311,113.9015,113.3289,113.4999,323822
2021-02-16,113.7889,113.9502,113.5237,113.711,237021
2021-02-17,113.5735,113.8874,113.5405,113.5583,469074
2021-02-18,113.3718,113.4165,113.2499,113.2959,356974
2021-02-19,113.1069,113.5909,112.9898,113.0218,404164
2021-02-22,112.5963,112.792,112.5387,112.578,190729
2021-02-23,112.5097,112.5478,112.5046,112.5345,368420
2021-02-24,112.3528,112.6704,112.0599,112.1811,324085
2021-02-25,112.2056,112.3978,112.1721,112.2592,142076
2021-02-26,111.8443,112.3991,111.737,111.8005,201611
2021-03-01,111.7075,111.8713,111.5716,111.6613,464660
2021-03-02,111.6826,111.9719,111.498,111.7507,328542
