date,open,high,low,close,volume
2021-01-04,59.9519,60.0689,59.8934,59.9245,485406
2021-01-05,59.8594,60.0146,59.8579,59.9054,179606
2021-01-06,59.9847,60.1476,59.879,59.9718,248491
2021-01-07,59.8768,60.0645,59.8434,59.8678,207471
2021-01-08,59.8042,59.9844,59.698,59.9174,221853
2021-01-11,59.9268,60.161,59.826,59.9219,338419
2021-01-12,59.9035,60.1309,59.8727,59.8727,264984
2021-01-13,59.8844,59.9385,59.7615,59.8463,362454
2021-01-14,59.8647,59.9455,59.759,59.8577,369754
2021-01-15,59.6775,59.9919,59.5468,59.7957,181082
2021-01-18,59.9029,59.9122,59.8177,59.8265,117570
2021-01-19,59.8477,59.8671,59.8033,59.8231,398512
2021-01-20,59.7079,59.8743,59.4681,59.7799,172636
2021-01-21,59.9526,60.1091,59.9078,59.9998,179985
2021-01-22,60.0936,60.1173,60.035,60.0797,340539
2021-01-25,60.1046,60.1714,59.8541,60.0637,205204
2021-01-26,60.0819,60.1955,60.0137,60.1113,175897
2021-01-27,60.0674,60.132,59.8827,60.0179,222718
2021-01-28,59.8879,60.0563,59.7431,59.9955,309050
2021-01-29,59.9245,60.0422,59.9093,59.9871,438396
2021-02-01,59.7439,59.9128,59.598,59.8675,495472
2021-02-02,59.89,59.952,59.7837,59.9438,392833
2021-02-03,60.0035,60.0988,59.7975,59.9131,459547
2021-02-04,60.0238,60.2123,59.8126,59.9005,312274
2021-02-05,59.8764,60.0039,59.8294,59.8623,263331
2021-02-08,60.2081,60.2791,60.1685,60.2465,427899
2021-02-09,60.1835,60.3706,60.0647,60.1968,220956
2021-02-10,60.0062,60.0551,59.7649,59.9779,425171
2021-02-11,59.7224,59.8607,59.647,59.8159,499278
2021-02-12,59.9023,60.0937,59.8615,59.9367,255933
2021-02-15,60.2131,60.2303,60.0772,60.1268,353367
2021-02-16,60.0121,60.1986,60.0075,60.0749,412574
2021-02-17,60.2135,60.295,60.1936,60.2586,413401
2021-02-18,60.3789,60.4436,60.3298,60.3781,182497
2021-02-19,60.4025,60.4187,60.2967,60.3854,485041
2021-02-22,60.3464,60.4723,60.252,60.3842,301291
2021-02-23,60.4409,60.5851,60.2589,60.4362,116715
2021-02-24,60.6093,60.6253,60.5623,60.5725,147296
2021-02-25,60.7699,60.9701,60.439,60.6509,391038
2021-02-26,60.5915,60.8073,60.5522,60.5991,270717
2021-03-01,60.6058,60.6479,60.5441,60.6083,143179
2021-03-02,60.9718,61.2569,60.8189,60.8788,308146
2021-03-03,60.9063,61.1586,60.6648,60.9398,339817
2021-03-04,60.9953,61.1491,60.7581,61.0762,131967
2021-03-05,61.188,61.2658,60.8945,61.1727,240042
2021-03-08,61.3026,61.4387,61.2082,61.2367,285045
2021-03-09,61.3028,61.4288,61.238,61.2807,412133
2021-03-10,61.4153,61.5581,61.2416,61.4213,360668
2021-03-11,61.4512,61.6656,61.3286,61.5403,134808
2021-03-12,61.5999,61.6979,61.5948,61.6035,345635
2021-03-15,61.6248,61.6388,61.5413,61.5489,461016
2021-03-16,61.551,61.7036,61.3125,61.6271,121741
2021-03-17,61.6346,61.7967,61.6255,61.6497,494654
2021-03-18,61.6186,61.7713,61.5143,61.6425,138135
2021-03-19,61.9603,62.0036,61.931,62.0035,349065
2021-03-22,61.859,61.9853,61.6985,61.8437,240542
2021-03-23,62.0207,62.1039,61.8527,61.9932,392316
2021-03-24,61.944,62.1696,61.8378,61.9172,437074
2021-03-25,61.9039,62.0476,61.7064,61.9644,440743
2021-03-26,62.2112,62.4142,62.2055,62.3137,447902
2021-03-29,62.2413,62.3199,62.2187,62.2249,426500
2021-03-30,62.1345,62.2852,62.1222,62.166,223845
2021-03-31,62.3092,62.3667,62.1862,62.1949,286120
2021-04-01,62.2376,62.3148,61.7938,62.1206,387556
2021-04-02,62.3854,62.5994,62.2384,62.2615,167350
2021-04-05,62.1675,62.4408,61.998,62.226,330956
2021-04-06,62.374,62.5347,62.1358,62.3386,312084
2021-04-07,62.2582,62.3567,62.0067,62.204,493368
2021-04-08,62.0573,62.1524,61.9047,62.0103,119887
2021-04-09,61.9909,62.0383,61.9614,62.0129,137857
2021-04-12,61.9285,62.0182,61.7247,61.8494,112040
2021-04-13,62.0682,62.1571,61.9865,62.0681,319152
2021-04-14,61.9172,62.0356,61.6687,61.9093,320306
2021-04-15,61.7167,61.814,61.6312,61.8117,337015
2021-04-16,61.9337,62.0348,61.6022,61.8938,196839
2021-04-19,61.836,61.8856,61.7086,61.8521,223067
2021-04-20,61.7239,61.7527,61.5101,61.6952,266744
2021-04-21,61.9924,62.0222,61.7721,61.9778,118781
2021-04-22,61.8958,61.9592,61.7561,61.8846,400991
2021-04-23,61.8884,62.0058,61.7397,61.8913,120841
2021-04-26,61.945,61.976,61.8898,61.8963,366758
2021-04-27,62.0029,62.1437,61.7454,62.0152,281447
2021-04-28,62.0132,62.2695,62.0097,62.1036,499529
2021-04-29,62.0672,62.1242,61.9548,62.0319,376989
2021-04-30,61.9723,62.0853,61.9556,62.0225,290213
2021-05-03,61.9432,62.1544,61.9208,62.0254,380070
2021-05-04,62.0858,62.2072,61.966,62.1493,146907
2021-05-05,62.0527,62.3758,61.9109,62.0351,172387
2021-05-06,62.3105,62.3552,62.0815,62.3165,299581
2021-05-07,62.1203,62.34,61.8874,62.2531,443188
2021-05-10,62.2592,62.3193,62.2589,62.2831,428030
2021-05-11,62.2425,62.2548,62.1348,62.1698,250864
2021-05-12,62.0114,62.0716,61.8898,62.0394,213467
2021-05-13,61.9517,61.9984,61.8721,61.962,485747
2021-05-14,61.9372,62.0018,61.6549,61.8727,326170
2021-05-17,61.9015,62.0445,61.6632,61.8523,147263
2021-05-18,61.8253,61.8635,61.7049,61.7622,189972
2021-05-19,61.7074,61.9363,61.6409,61.879,434581
2021-05-20,61.9202,61.9606,61.7478,61.813,459293
2021-05-21,61.7727,61.9361,61.5306,61.7334,463335
2021-05-24,61.8677,62.0732,61.4645,61.7158,102767
2021-05-25,61.8208,61.9361,61.7919,61.8692,429070
2021-05-26,61.8175,62.0465,61.7343,61.9267,144784
2021-05-27,61.9458,61.98,61.9349,61.9453,423536
2021-05-28,61.7817,61.8363,61.7036,61.7987,452598
2021-05-31,61.7287,61.7432,61.655,61.6884,244524
2021-06-01,61.6277,61.7248,61.4788,61.5615,177446
2021-06-02,61.7478,61.8728,61.721,61.7532,385337
2021-06-03,61.8347,62.0634,61.7257,61.8496,127376
2021-06-04,61.8062,61.8203,61.7167,61.774,331738
2021-06-07,61.7193,61.8741,61.663,61.7351,232627
2021-06-08,61.6431,61.8349,61.5393,61.6641,269791
2021-06-09,61.6495,61.7002,61.547,61.5857,430258
2021-06-10,61.7508,61.8031,61.6216,61.6732,497244
2021-06-11,61.7354,61.7409,61.5477,61.6685,260875
